Fecha "Riesgo País"
2012-10-16T00:00:00Z 763
2012-10-17T00:00:00Z 759
2012-10-18T00:00:00Z 767
2012-10-19T00:00:00Z 768
2012-10-20T00:00:00Z 768
2012-10-21T00:00:00Z 768
2012-10-22T00:00:00Z 766
2012-10-23T00:00:00Z 786
2012-10-24T00:00:00Z 786
2012-10-25T00:00:00Z 782
2012-10-26T00:00:00Z 785
2012-10-27T00:00:00Z 785
2012-10-28T00:00:00Z 785
2012-10-29T00:00:00Z 786
2012-10-30T00:00:00Z 786
2012-10-31T00:00:00Z 824
2012-11-01T00:00:00Z 824
2012-11-02T00:00:00Z 824
2012-11-03T00:00:00Z 824
2012-11-04T00:00:00Z 824
2012-11-05T00:00:00Z 826
2012-11-06T00:00:00Z 804
2012-11-07T00:00:00Z 808
2012-11-08T00:00:00Z 809
2012-11-09T00:00:00Z 809
2012-11-10T00:00:00Z 809
2012-11-11T00:00:00Z 809
2012-11-12T00:00:00Z 809
2012-11-13T00:00:00Z 810
2012-11-14T00:00:00Z 810
2012-11-15T00:00:00Z 811
2012-11-16T00:00:00Z 811
2012-11-17T00:00:00Z 811
2012-11-18T00:00:00Z 811
2012-11-19T00:00:00Z 810
2012-11-20T00:00:00Z 809
2012-11-21T00:00:00Z 807
2012-11-22T00:00:00Z 807
2012-11-23T00:00:00Z 807
2012-11-24T00:00:00Z 807
2012-11-25T00:00:00Z 807
2012-11-26T00:00:00Z 826
2012-11-27T00:00:00Z 827
2012-11-28T00:00:00Z 828
2012-11-29T00:00:00Z 828
2012-11-30T00:00:00Z 829
2012-12-01T00:00:00Z 829
2012-12-02T00:00:00Z 829
2012-12-03T00:00:00Z 829
2012-12-04T00:00:00Z 830
2012-12-05T00:00:00Z 830
2012-12-06T00:00:00Z 831
2012-12-07T00:00:00Z 830
2012-12-08T00:00:00Z 830
2012-12-09T00:00:00Z 830
2012-12-10T00:00:00Z 830
2012-12-11T00:00:00Z 830
2012-12-12T00:00:00Z 829
2012-12-13T00:00:00Z 827
2012-12-14T00:00:00Z 828
2012-12-15T00:00:00Z 828
2012-12-16T00:00:00Z 828
2012-12-17T00:00:00Z 826
2012-12-18T00:00:00Z 823
2012-12-19T00:00:00Z 823
2012-12-20T00:00:00Z 823
2012-12-21T00:00:00Z 824
2012-12-22T00:00:00Z 824
2012-12-23T00:00:00Z 824
2012-12-24T00:00:00Z 823
2012-12-25T00:00:00Z 823
2012-12-26T00:00:00Z 823
2012-12-27T00:00:00Z 825
2012-12-28T00:00:00Z 825
2012-12-29T00:00:00Z 825
2012-12-30T00:00:00Z 825
2012-12-31T00:00:00Z 826
2013-01-01T00:00:00Z 826
2013-01-02T00:00:00Z 767
2013-01-03T00:00:00Z 765
2013-01-04T00:00:00Z 764
2013-01-05T00:00:00Z 764
2013-01-06T00:00:00Z 764
2013-01-07T00:00:00Z 765
2013-01-08T00:00:00Z 766
2013-01-09T00:00:00Z 757
2013-01-10T00:00:00Z 746
2013-01-11T00:00:00Z 746
2013-01-12T00:00:00Z 746
2013-01-13T00:00:00Z 746
2013-01-14T00:00:00Z 747
2013-01-15T00:00:00Z 710
2013-01-16T00:00:00Z 709
2013-01-17T00:00:00Z 707
2013-01-18T00:00:00Z 708
2013-01-19T00:00:00Z 708
2013-01-20T00:00:00Z 708
2013-01-21T00:00:00Z 708
2013-01-22T00:00:00Z 708
2013-01-23T00:00:00Z 708
2013-01-24T00:00:00Z 708
2013-01-25T00:00:00Z 703
2013-01-26T00:00:00Z 703
2013-01-27T00:00:00Z 703
2013-01-28T00:00:00Z 701
2013-01-29T00:00:00Z 702
2013-01-30T00:00:00Z 703
2013-01-31T00:00:00Z 704
2013-02-01T00:00:00Z 704
2013-02-02T00:00:00Z 704
2013-02-03T00:00:00Z 704
2013-02-04T00:00:00Z 706
2013-02-05T00:00:00Z 704
2013-02-06T00:00:00Z 705
